first_name,first,middle,last,birthday,gender,type,state,party
James,James,,Madison,1751-03-16,M,rep,VA,Pro-Administration
James,James,,Monroe,1758-04-28,M,sen,VA,Anti-Administration
John,John,,Adams,1735-10-30,M,rep,MA,Pro-Administration
John,John,Quincy,Adams,1767-07-11,M,sen,MA,Pro-Administration
John,John,,Jay,1745-12-12,M,rep,NY,Anti-Administration
Abigail,Abigail,,Smith,1744-11-11,F,rep,MA,Pro-Administration
Dolley,Dolley,,Madison,1768-05-20,F,rep,VA,Anti-Administration
Alexander,Alexander,,Hamilton,1755-01-11,M,rep,NY,Pro-Administration
Aaron,Aaron,,Burr,1756-02-06,M,sen,NY,Anti-Administration
Martha,Martha,,Washington,1731-06-13,F,rep,VA,Pro-Administration
